,True,Pred,Diff
416,9800.0,14700.0,-4900.0
488,7600.0,7500.0,100.0
1877,568.0,422.0,146.0
1215,1600.0,596.0,1004.0
1194,1700.0,1600.0,100.0
2197,267.0,483.0,-216.0
201,23600.0,17800.0,5800.0
124,46900.0,46600.0,300.0
186,26900.0,46600.0,-19700.0
976,2100.0,1900.0,200.0
1086,2000.0,596.0,1404.0
1470,1200.0,1400.0,-200.0
205,17900.0,41800.0,-23900.0
177,31300.0,48800.0,-17500.0
608,5700.0,1200.0,4500.0
993,2100.0,3300.0,-1200.0
1311,1400.0,437.0,963.0
2320,172.0,470.6666666666667,-298.6666666666667
1658,820.0,255.0,565.0
926,2900.0,1174.5,1725.5
2000,285.0,1000.0,-715.0
863,2400.0,2200.0,200.0
1731,735.0,725.5,9.5
1491,876.0,3300.0,-2424.0
2011,338.0,933.0,-595.0
165,36800.0,48800.0,-12000.0
16,207800.0,238000.0,-30200.0
1359,1000.0,459.0,541.0
564,4300.0,4500.0,-200.0
1868,478.0,354.0,124.0
764,4000.0,5200.0,-1200.0
2226,247.0,509.0,-262.0
2360,64.0,89.0,-25.0
1528,864.0,999.0,-135.0
1301,1300.0,1100.0,200.0
1743,693.0,447.0,246.0
587,5500.0,5900.0,-400.0
1522,809.0,719.0,90.0
1973,489.0,1400.0,-911.0
1561,739.0,502.5,236.5
1737,467.0,292.0,175.0
2243,236.0,725.5,-489.5
2267,113.0,120.0,-7.0
422,7700.0,10500.0,-2800.0
1860,426.0,1800.0,-1374.0
1430,1200.0,2700.0,-1500.0
2210,278.0,571.5,-293.5
2427,137.0,91.0,46.0
76,77200.0,25300.0,51900.0
190,27400.0,12500.0,14900.0
1570,750.0,461.0,289.0
965,2600.0,9200.0,-6600.0
1588,734.0,647.0,87.0
1,833000.0,1400000.0,-567000.0
332,11100.0,7600.0,3500.0
1396,1100.0,868.0,232.0
376,11600.0,9800.0,1800.0
856,2000.0,6200.0,-4200.0
1805,656.0,1100.0,-444.0
1712,696.0,685.0,11.0
661,5000.0,601.0,4399.0
303,14900.0,23900.0,-9000.0
1196,1400.0,716.0,684.0
590,4800.0,2900.0,1900.0
1365,1200.0,1800.0,-600.0
698,4500.0,4400.0,100.0
727,4200.0,2100.0,2100.0
87,66000.0,34500.0,31500.0
1303,1400.0,1300.0,100.0
843,3100.0,2300.0,800.0
1399,641.0,610.0,31.0
354,12400.0,16500.0,-4100.0
1327,1200.0,2800.0,-1600.0
1637,336.0,716.0,-380.0
200,25400.0,32600.0,-7200.0
694,3900.0,9500.0,-5600.0
2332,201.0,497.0,-296.0
924,2900.0,2100.0,800.0
