,name,price_type,rating,rating_count,url,click,view
206,customhome:portalgladoschamber,free,4.18,28,https://sidequestvr.com/app/3926/custom-home-portal-glados-chamber,23.2k,63.1k
207,flyingsquirrelchase,free,4.73,11,https://sidequestvr.com/app/5215/flying-squirrel-chase,24.4k,38k
208,matchpointtennis-freedemo,prerelease,4.53,19,https://sidequestvr.com/app/4091/match-point-tennis-free-demo,23.7k,44k
209,abaeternodemo,demo,4.77,44,https://sidequestvr.com/app/4070/ab-aeterno-demo,21.2k,46.5k
210,thunderbulletvr,prerelease,3.84,25,https://sidequestvr.com/app/601/thunderbullet-vr,23.5k,81.1k
211,historiccrafts,free,4.4,10,https://sidequestvr.com/app/4207/historic-crafts,23.9k,47.6k
212,interdimensionalmatter,prerelease,4.5,22,https://sidequestvr.com/app/506/interdimensional-matter,22.7k,74.3k
213,climb&shoot(practicearena),prerelease,4.43,7,https://sidequestvr.com/app/5519/climb-shoot-practice-arena,23.9k,52.5k
214,ironrebellion,paid,5.0,2,https://sidequestvr.com/app/4940/iron-rebellion,24k,57.4k
215,swordsman,paid,4.45,20,https://sidequestvr.com/app/9321/swordsman,22.4k,45.9k
216,rayman2vrdemo(fanremake),free,4.77,35,https://sidequestvr.com/app/2175/rayman-2-vr-demo-fan-remake,20.7k,80.8k
217,cactuscowboy-fullyloaded,free,4.68,25,https://sidequestvr.com/app/4315/cactus-cowboy-fully-loaded,21.6k,44.4k
218,airbrigade,paid,3.96,23,https://sidequestvr.com/app/257/air-brigade,22k,150.2k
219,forestfarmdemo,free,3.8,5,https://sidequestvr.com/app/2826/forest-farm-demo,23.3k,65.6k
220,starfighterarduximmultiplayer,free,4.17,6,https://sidequestvr.com/app/4854/starfighter-arduxim-multiplayer,23k,49.1k
221,babyhands,paid,4.75,8,https://sidequestvr.com/app/3098/baby-hands,22.7k,46.2k
222,crawlspace,free,4.83,12,https://sidequestvr.com/app/6334/crawlspace,22.2k,37.4k
223,shadowvr(earlyaccess),free,3.68,38,https://sidequestvr.com/app/6536/shadow-vr-early-access,20.5k,50.4k
224,gaim,free,1.29,14,https://sidequestvr.com/app/4898/gaim,22.8k,57.9k
225,escapelegacy-sidequest,paid,4.43,37,https://sidequestvr.com/app/1246/escape-legacy-sidequest,19.9k,88.5k
226,stunttrackbuilder,free,4.88,25,https://sidequestvr.com/app/6552/stunt-track-builder,20.6k,43.2k
227,ghostracingvr(wip),free,3.97,30,https://sidequestvr.com/app/1403/ghost-racing-vr-wip,20.6k,52.5k
228,masterofthetattooverse(freedemo),demo,4.78,40,https://sidequestvr.com/app/2839/master-of-the-tattooverse-free-demo,18.9k,88.5k
229,controlroom,free,3.71,7,https://sidequestvr.com/app/3552/control-room,21.6k,82.4k
230,exitconditionone-demo,demo,4.67,27,https://sidequestvr.com/app/4198/exit-condition-one-demo,19.5k,48.5k
231,rickstoilet,free,4.57,30,https://sidequestvr.com/app/367/ricks-toilet,19.2k,89.2k
232,samuraislaughterhouse(freedemo!),paidprerelease,4.25,28,https://sidequestvr.com/app/7848/samurai-slaughter-house-free-demo,19.4k,38.9k
233,sep'sdiner(demo),demo,4.75,12,https://sidequestvr.com/app/2167/seps-diner-demo,20.5k,36.1k
234,godsofgravity,free,4.96,24,https://sidequestvr.com/app/5607/gods-of-gravity,19k,58.4k
235,tilltomorrow,prerelease,4.62,26,https://sidequestvr.com/app/5341/till-tomorrow,18.9k,58.3k
236,thevirtualtraveller,free,4.0,9,https://sidequestvr.com/app/4225/the-virtual-traveller,20.6k,91.7k
237,handbox:asandboxforyourhands,prerelease,3.33,9,https://sidequestvr.com/app/4341/handbox-a-sandbox-for-your-hands,20k,76.1k
238,sep'sdiner,paid,4.7,30,https://sidequestvr.com/app/2074/seps-diner,17.8k,53.8k
239,flowmeditation,free,4.6,20,https://sidequestvr.com/app/1591/flow-meditation,18.7k,58.9k
240,1976-backtomidwaydemo,demo,4.59,22,https://sidequestvr.com/app/2854/1976-back-to-midway-demo,18.4k,57.3k
241,brutalstrike-counterstrikebrutal-csgo-fpsshooter,free,3.63,27,https://sidequestvr.com/app/6540/brutal-strike-counter-strike-brutal-cs-go-fps-shooter,18.4k,62.5k
242,highseaslite,free,4.68,19,https://sidequestvr.com/app/309/high-seas-lite,18.5k,53.7k
243,polardread,demo,4.67,15,https://sidequestvr.com/app/4275/polardread,18.8k,46.6k
244,tacticalassaultvrdemo,demo,4.53,19,https://sidequestvr.com/app/8699/tactical-assault-vr-demo,18.3k,35.8k
245,handspell|demo,demo,4.5,30,https://sidequestvr.com/app/1248/hand-spell-demo,17.2k,43.9k
246,questappversionswitcher,opensource,2.71,17,https://sidequestvr.com/app/5333/questappversionswitcher,18.8k,27.4k
247,raceforfun,paidprerelease,4.44,9,https://sidequestvr.com/app/4799/race-for-fun,18.9k,43.1k
