name,price_type,rating,rating_count,url,click,view
handtrackingdemos,free,4.28,18.0,https://sidequestvr.com/app/398/hand-tracking-demos,27.4k,55.3k
deadsecond,paid,4.86,37.0,https://sidequestvr.com/app/5707/dead-second,25.2k,74.9k
cat,free,3.4,5.0,https://sidequestvr.com/app/1579/cat,28k,77.6k
blacktophoops-vrbasketball,free,4.78,32.0,https://sidequestvr.com/app/8231/blacktop-hoops-vr-basketball,24.9k,38.1k
marathrunfullgamepre-release[alphaversion],prerelease,4.6,20.0,https://sidequestvr.com/app/3747/marathrun-full-game-pre-release-alpha-version,26k,54.6k
attackonreality,free,3.5,18.0,https://sidequestvr.com/app/2407/attack-on-reality,26.4k,90.7k
customhome:naruto,free,4.58,12.0,https://sidequestvr.com/app/3956/custom-home-naruto,26.2k,59.7k
gamebov,free,4.11,62.0,https://sidequestvr.com/app/1199/gamebov,22.1k,87.9k
songbeater:quitemytempo!,paid,4.46,54.0,https://sidequestvr.com/app/385/song-beater-quite-my-tempo,22.1k,146.8k
pioneer:endlessjourney,free,4.7,69.0,https://sidequestvr.com/app/6960/pioneer-endless-journey,20.4k,46.6k
granny2vr(unofficial),prerelease,4.36,14.0,https://sidequestvr.com/app/4663/granny-2-vr-unofficial,25.4k,50.4k
lambda1vrlauncher,opensource,4.68,31.0,https://sidequestvr.com/app/641/lambda1vr-launcher,23.6k,58.8k
homeplatebaseballapplab,paid,3.69,13.0,https://sidequestvr.com/app/27/home-plate-baseball-app-lab,25.2k,61.1k
attackontitanrevive-fangame,free,3.19,21.0,https://sidequestvr.com/app/6099/attack-on-titan-revive-fan-game,24.4k,84.1k
slowp,free,4.54,26.0,https://sidequestvr.com/app/1322/slowp,23.4k,56.7k
🏮crazykungfu🏮,paid,4.76,82.0,https://sidequestvr.com/app/1195/crazy-kung-fu,17.9k,87.4k
customhome:portalgladoschamber,free,4.18,28.0,https://sidequestvr.com/app/3926/custom-home-portal-glados-chamber,23.3k,63.2k
flyingsquirrelchase,free,4.73,11.0,https://sidequestvr.com/app/5215/flying-squirrel-chase,24.4k,38k
matchpointtennis-freedemo,prerelease,4.53,19.0,https://sidequestvr.com/app/4091/match-point-tennis-free-demo,23.7k,44.1k
abaeternodemo,demo,4.77,44.0,https://sidequestvr.com/app/4070/ab-aeterno-demo,21.3k,46.6k
thunderbulletvr,prerelease,3.84,25.0,https://sidequestvr.com/app/601/thunderbullet-vr,23.5k,81.2k
historiccrafts,free,4.4,10.0,https://sidequestvr.com/app/4207/historic-crafts,23.9k,47.7k
interdimensionalmatter,prerelease,4.5,22.0,https://sidequestvr.com/app/506/interdimensional-matter,22.7k,74.4k
climb&shoot(practicearena),prerelease,4.43,7.0,https://sidequestvr.com/app/5519/climb-shoot-practice-arena,23.9k,52.5k
ironrebellion,paid,5.0,2.0,https://sidequestvr.com/app/4940/iron-rebellion,24k,57.4k
swordsman,paid,4.45,20.0,https://sidequestvr.com/app/9321/swordsman,22.5k,46.2k
rayman2vrdemo(fanremake),free,4.77,35.0,https://sidequestvr.com/app/2175/rayman-2-vr-demo-fan-remake,20.8k,80.9k
cactuscowboy-fullyloaded,free,4.68,25.0,https://sidequestvr.com/app/4315/cactus-cowboy-fully-loaded,21.6k,44.4k
airbrigade,paid,3.96,23.0,https://sidequestvr.com/app/257/air-brigade,22k,150.3k
forestfarmdemo,free,3.8,5.0,https://sidequestvr.com/app/2826/forest-farm-demo,23.3k,65.6k
starfighterarduximmultiplayer,free,4.17,6.0,https://sidequestvr.com/app/4854/starfighter-arduxim-multiplayer,23k,49.1k
babyhands,paid,4.75,8.0,https://sidequestvr.com/app/3098/baby-hands,22.7k,46.2k
crawlspace,free,4.83,12.0,https://sidequestvr.com/app/6334/crawlspace,22.2k,37.4k
shadowvr(earlyaccess),free,3.68,38.0,https://sidequestvr.com/app/6536/shadow-vr-early-access,20.6k,50.5k
gaim,free,1.29,14.0,https://sidequestvr.com/app/4898/gaim,22.8k,57.9k
escapelegacy-sidequest,paid,4.43,37.0,https://sidequestvr.com/app/1246/escape-legacy-sidequest,19.9k,88.6k
stunttrackbuilder,free,4.88,25.0,https://sidequestvr.com/app/6552/stunt-track-builder,20.7k,43.2k
ghostracingvr(wip),free,3.97,30.0,https://sidequestvr.com/app/1403/ghost-racing-vr-wip,20.6k,52.6k
masterofthetattooverse(freedemo),demo,4.78,40.0,https://sidequestvr.com/app/2839/master-of-the-tattooverse-free-demo,19k,88.5k
controlroom,free,3.71,7.0,https://sidequestvr.com/app/3552/control-room,21.6k,82.4k
exitconditionone-demo,demo,4.67,27.0,https://sidequestvr.com/app/4198/exit-condition-one-demo,19.5k,48.5k
rickstoilet,free,4.57,30.0,https://sidequestvr.com/app/367/ricks-toilet,19.2k,89.3k
samuraislaughterhouse(freedemo!),paidprerelease,4.25,28.0,https://sidequestvr.com/app/7848/samurai-slaughter-house-free-demo,19.4k,39k
sep'sdiner(demo),demo,4.75,12.0,https://sidequestvr.com/app/2167/seps-diner-demo,20.5k,36.1k
godsofgravity,free,4.96,24.0,https://sidequestvr.com/app/5607/gods-of-gravity,19k,58.5k
tilltomorrow,prerelease,4.62,26.0,https://sidequestvr.com/app/5341/till-tomorrow,19k,58.5k
thevirtualtraveller,free,4.0,9.0,https://sidequestvr.com/app/4225/the-virtual-traveller,20.6k,91.8k
sep'sdiner,paid,4.7,30.0,https://sidequestvr.com/app/2074/seps-diner,17.8k,53.8k
handbox:asandboxforyourhands,prerelease,3.33,9.0,https://sidequestvr.com/app/4341/handbox-a-sandbox-for-your-hands,20.1k,76.1k
flowmeditation,free,4.6,20.0,https://sidequestvr.com/app/1591/flow-meditation,18.7k,58.9k
1976-backtomidwaydemo,demo,4.59,22.0,https://sidequestvr.com/app/2854/1976-back-to-midway-demo,18.4k,57.3k
brutalstrike-counterstrikebrutal-csgo-fpsshooter,free,3.63,27.0,https://sidequestvr.com/app/6540/brutal-strike-counter-strike-brutal-cs-go-fps-shooter,18.4k,62.6k
highseaslite,free,4.68,19.0,https://sidequestvr.com/app/309/high-seas-lite,18.5k,53.7k
polardread,demo,4.67,15.0,https://sidequestvr.com/app/4275/polardread,18.9k,46.7k
tacticalassaultvrdemo,demo,4.53,19.0,https://sidequestvr.com/app/8699/tactical-assault-vr-demo,18.3k,35.9k
handspell|demo,demo,4.5,30.0,https://sidequestvr.com/app/1248/hand-spell-demo,17.2k,43.9k
questappversionswitcher,opensource,2.71,17.0,https://sidequestvr.com/app/5333/questappversionswitcher,18.9k,27.5k
raceforfun,paidprerelease,4.44,9.0,https://sidequestvr.com/app/4799/race-for-fun,18.9k,43.2k
warriorsoftitus,prerelease,4.81,31.0,https://sidequestvr.com/app/540/warriors-of-titus,16.3k,78.5k
